cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L6,12,17,2018-02-02 09:30:46,40.35644,-70.88006,14.951516593857047
EN608,L6,12,18,2018-02-02 09:32:47,40.35614,-70.88002,4.760035298305973
EN608,L6,12,19,2018-02-02 09:32:54,40.356120000000004,-70.87999,4.806672577915335
EN608,L6,12,20,2018-02-02 09:32:59,40.356120000000004,-70.87998,4.710421159388597
EN608,L6,12,21,2018-02-02 09:33:07,40.3561,-70.87996,4.75805073298034
EN608,L6,12,22,2018-02-02 09:33:15,40.35608,-70.87994,4.717367139561501
EN608,L7,23,1,2018-02-04 06:29:33,40.205999999999996,-70.86258000000001,6.672246244834382
EN608,L8,15,1,2018-02-02 19:08:22,40.1237,-70.80062,128.74665608383137
EN608,L8,15,2,2018-02-02 19:08:31,40.123670000000004,-70.8007,128.1228738458862
EN608,L8,15,3,2018-02-02 19:11:22,40.1229,-70.80176,90.73114923564694
EN608,L8,15,4,2018-02-02 19:11:30,40.122859999999996,-70.8018,90.01996494585244
EN608,L8,15,5,2018-02-02 19:13:54,40.12236,-70.80281,60.480326575617845
EN608,L8,15,6,2018-02-02 19:14:02,40.12234,-70.80284,59.59741476492891
EN608,L8,15,7,2018-02-02 19:14:09,40.12234,-70.80289,58.43970328505115
EN608,L8,15,8,2018-02-02 19:15:58,40.1218,-70.80358000000001,42.33721220992841
EN608,L8,15,9,2018-02-02 19:16:05,40.12178,-70.80362,41.24289924990492
EN608,L8,15,10,2018-02-02 19:16:12,40.12174,-70.80369,42.28760612799115
EN608,L8,15,11,2018-02-02 19:17:58,40.121340000000004,-70.80431999999999,34.15105386733328
EN608,L8,15,12,2018-02-02 19:18:04,40.121320000000004,-70.80435,34.838620422989095
EN608,L8,15,13,2018-02-02 19:18:11,40.12131,-70.80436,34.955695017626
EN608,L8,15,14,2018-02-02 19:18:18,40.12128,-70.80442,35.22060084473153
EN608,L8,15,15,2018-02-02 19:21:06,40.12068,-70.80541,14.386248348461852
EN608,L8,15,16,2018-02-02 19:21:14,40.12064,-70.80546,14.492419823721153
EN608,L8,15,17,2018-02-02 19:21:21,40.12062,-70.8055,15.112579209197905
EN608,L8,15,18,2018-02-02 19:21:30,40.12058,-70.80556,15.081819347986302
EN608,L8,15,19,2018-02-02 19:23:19,40.12008,-70.80615999999999,6.25156344029382
EN608,L8,15,20,2018-02-02 19:23:26,40.12004,-70.8062,6.7070270236153675
EN608,L8,15,21,2018-02-02 19:23:33,40.12001,-70.80623,6.700080963511008
EN608,L8,15,22,2018-02-02 19:23:39,40.11998,-70.80627,6.4410919826973485
EN608,L8,15,23,2018-02-02 19:23:45,40.11996,-70.80632,6.1652336271655095
EN608,L8,15,24,2018-02-02 19:23:53,40.11992,-70.80636,5.713738033919584
EN608,L9,22,1,2018-02-04 03:20:45,40.0841,-70.85508,146.93620102137385
EN608,L9,22,2,2018-02-04 03:20:54,40.08408,-70.85504,147.10675938480512
EN608,L9,22,3,2018-02-04 03:23:32,40.08362,-70.85428,130.53317848228974
EN608,L9,22,4,2018-02-04 03:23:39,40.0836,-70.85424,129.46115001627803
EN608,L9,22,5,2018-02-04 03:26:37,40.08298,-70.85335,100.14331255107521
EN608,L9,22,6,2018-02-04 03:26:51,40.08295,-70.85329,100.75032087931127
EN608,L9,22,7,2018-02-04 03:26:58,40.08292,-70.85324,100.87727664218927
EN608,L9,22,8,2018-02-04 03:29:28,40.082440000000005,-70.85259,80.98691190030577
EN608,L9,22,9,2018-02-04 03:29:36,40.08242,-70.85255,81.2636623812705
EN608,L9,22,10,2018-02-04 03:35:21,40.08139,-70.8508,59.16906825953917
EN608,L9,22,11,2018-02-04 03:35:30,40.08137,-70.85075,59.4676731504848
EN608,L9,22,12,2018-02-04 03:35:39,40.081340000000004,-70.8507,59.048038910624534
EN608,L9,22,13,2018-02-04 03:38:15,40.08084,-70.84985999999999,41.08827622727064
EN608,L9,22,14,2018-02-04 03:38:27,40.0808,-70.84980999999999,41.07537852170593
EN608,L9,22,15,2018-02-04 03:38:38,40.08077,-70.84976,41.17558375126183
EN608,L9,22,16,2018-02-04 03:41:50,40.08024,-70.84886,19.650175378961283
EN608,L9,22,17,2018-02-04 03:42:00,40.080220000000004,-70.84881999999999,19.947845692759024
EN608,L9,22,18,2018-02-04 03:42:08,40.0802,-70.84876,19.86747475071144
EN608,L9,22,19,2018-02-04 03:44:44,40.079879999999996,-70.84775,5.179899181723719
EN608,L9,22,20,2018-02-04 03:44:54,40.07986,-70.84769,5.55002871859414
EN608,L9,22,21,2018-02-04 03:45:02,40.079840000000004,-70.84764,7.224037857452509
EN608,L9,22,22,2018-02-04 03:45:10,40.07982,-70.84758000000001,6.447069107184019
